X,Y,name,color
319623.40983944,914632.157437297,RomPad1,Vert
320098.354561924,915041.451053434,WasteDump Lafigue,
321567.298066454,914397.249572397,WasteDump Nord,Violet
319806.00197897,912984.724987385,WasteDump_West,
320446.10026586,914570.609525096,Main Pit,Or
319604.94546578,913497.624255726,WestPit,Or
318950.485999377,914022.833106508,RomPad3,Vert
319028.446688164,914342.882249953,RomPad2,Vert
